year,week,loc,state,country,loc_type,number,event
1925,14,CHARLESTON,SC,US,CITY,0,CASES
1925,15,CHARLESTON,SC,US,CITY,0,CASES
1925,21,CHARLESTON,SC,US,CITY,0,CASES
1925,24,CHARLESTON,SC,US,CITY,0,CASES
1925,25,CHARLESTON,SC,US,CITY,0,CASES
1925,26,CHARLESTON,SC,US,CITY,0,CASES
1925,28,CHARLESTON,SC,US,CITY,0,CASES
1925,29,CHARLESTON,SC,US,CITY,0,CASES
1925,30,CHARLESTON,SC,US,CITY,0,CASES
1925,31,CHARLESTON,SC,US,CITY,0,CASES
1925,32,CHARLESTON,SC,US,CITY,0,CASES
1925,33,CHARLESTON,SC,US,CITY,0,CASES
1925,34,CHARLESTON,SC,US,CITY,0,CASES
1925,36,CHARLESTON,SC,US,CITY,0,CASES
1925,37,CHARLESTON,SC,US,CITY,0,CASES
1925,38,CHARLESTON,SC,US,CITY,0,CASES
1925,40,CHARLESTON,SC,US,CITY,0,CASES
1925,44,CHARLESTON,SC,US,CITY,0,CASES
1925,45,CHARLESTON,SC,US,CITY,0,CASES
1925,47,CHARLESTON,SC,US,CITY,0,CASES
1925,48,CHARLESTON,SC,US,CITY,0,CASES
1925,49,CHARLESTON,SC,US,CITY,0,CASES
1925,51,CHARLESTON,SC,US,CITY,0,CASES
1925,52,CHARLESTON,SC,US,CITY,0,CASES
1926,3,CHARLESTON,SC,US,CITY,0,CASES
1926,5,CHARLESTON,SC,US,CITY,0,CASES
1926,9,CHARLESTON,SC,US,CITY,0,CASES
1926,14,CHARLESTON,SC,US,CITY,0,CASES
1926,17,CHARLESTON,SC,US,CITY,0,CASES
1926,18,CHARLESTON,SC,US,CITY,0,CASES
1926,20,CHARLESTON,SC,US,CITY,0,CASES
1926,21,CHARLESTON,SC,US,CITY,0,CASES
1926,22,CHARLESTON,SC,US,CITY,0,CASES
1926,23,CHARLESTON,SC,US,CITY,0,CASES
1926,24,CHARLESTON,SC,US,CITY,0,CASES
1926,25,CHARLESTON,SC,US,CITY,0,CASES
1926,26,CHARLESTON,SC,US,CITY,0,CASES
1926,27,CHARLESTON,SC,US,CITY,0,CASES
1926,28,CHARLESTON,SC,US,CITY,0,CASES
1926,29,CHARLESTON,SC,US,CITY,0,CASES
1926,30,CHARLESTON,SC,US,CITY,0,CASES
1926,31,CHARLESTON,SC,US,CITY,0,CASES
1926,32,CHARLESTON,SC,US,CITY,0,CASES
1926,33,CHARLESTON,SC,US,CITY,0,CASES
1926,34,CHARLESTON,SC,US,CITY,0,CASES
1926,35,CHARLESTON,SC,US,CITY,0,CASES
1926,36,CHARLESTON,SC,US,CITY,0,CASES
1926,37,CHARLESTON,SC,US,CITY,0,CASES
1926,39,CHARLESTON,SC,US,CITY,0,CASES
1926,43,CHARLESTON,SC,US,CITY,0,CASES
1926,45,CHARLESTON,SC,US,CITY,0,CASES
1926,48,CHARLESTON,SC,US,CITY,0,CASES
1926,49,CHARLESTON,SC,US,CITY,0,CASES
1926,52,CHARLESTON,SC,US,CITY,0,CASES
1927,4,CHARLESTON,SC,US,CITY,0,CASES
1927,5,CHARLESTON,SC,US,CITY,0,CASES
1927,7,CHARLESTON,SC,US,CITY,0,CASES
1927,8,CHARLESTON,SC,US,CITY,0,CASES
1927,9,CHARLESTON,SC,US,CITY,0,CASES
1927,10,CHARLESTON,SC,US,CITY,0,CASES
1927,11,CHARLESTON,SC,US,CITY,0,CASES
1927,12,CHARLESTON,SC,US,CITY,0,CASES
1927,13,CHARLESTON,SC,US,CITY,0,CASES
1927,14,CHARLESTON,SC,US,CITY,0,CASES
1927,15,CHARLESTON,SC,US,CITY,0,CASES
1927,17,CHARLESTON,SC,US,CITY,0,CASES
1927,18,CHARLESTON,SC,US,CITY,0,CASES
1927,19,CHARLESTON,SC,US,CITY,0,CASES
1927,20,CHARLESTON,SC,US,CITY,0,CASES
1927,21,CHARLESTON,SC,US,CITY,0,CASES
1927,23,CHARLESTON,SC,US,CITY,0,CASES
1927,26,CHARLESTON,SC,US,CITY,0,CASES
1929,17,CHARLESTON,SC,US,CITY,0,CASES
